Column1,postcode,address,lon,lat
0,2516,"Bulli NSW 2516, Australia",150.904556,-34.3284699
1,3042,"Airport West VIC 3042, Australia",144.8758725,-37.7245197
2,4750,"Shoal Point QLD 4750, Australia",149.1443634,-21.0306595
3,2765,"Maraylya NSW 2765, Australia",150.8725666,-33.6496795
4,2229,"Port Hacking NSW 2229, Australia",151.1228434,-34.0460194
5,3162,"Caulfield South VIC 3162, Australia",145.0217795,-37.8932076
6,6150,"Winthrop WA 6150, Australia",115.8373885,-32.0584003
7,4306,"Pine Mountain QLD 4306, Australia",152.3095833,-26.9231696
8,6020,"Watermans Bay WA 6020, Australia",115.7516025,-31.825112
9,4161,"Alexandra Hills QLD 4161, Australia",153.220588,-27.522958
10,4818,"Burdell QLD 4818, Australia",146.5168094,-19.2049974
11,4650,"Poona QLD 4650, Australia",152.695998,-25.5350235
12,4740,"Cremorne QLD 4740, Australia",149.1271385,-21.1499948
13,2176,"Greenfield Park NSW 2176, Australia",150.8783824,-33.8709405
14,3810,"Rythdale VIC 3810, Australia",145.4693163,-38.0578366
15,2330,"New South Wales 2330, Australia",150.8609358,-32.7319195
16,3179,"Scoresby VIC 3179, Australia",145.220397,-37.9042587
17,3342,"Bunding VIC 3342, Australia",144.215646,-37.6114047
18,4022,"Rothwell QLD 4022, Australia",153.0527075,-27.2144286
19,3013,"Yarraville VIC 3013, Australia",144.8813738,-37.819811
20,5255,"Angas Plains SA 5255, Australia",139.0009403,-35.2657984
21,2795,"New South Wales 2795, Australia",149.5642369,-33.5390607
22,2145,"Mays Hill NSW 2145, Australia",150.9481887,-33.8173961
23,3357,"Buninyong VIC 3357, Australia",143.8943543,-37.6521937
24,2641,"Hamilton Valley NSW 2641, Australia",146.9548653,-36.0303655
25,3044,"Pascoe Vale VIC 3044, Australia",144.9364069,-37.7310813
26,7248,"Newnham TAS 7248, Australia",147.1446457,-41.3887982
27,2866,"Cundumbul NSW 2866, Australia",148.96649,-32.9287927
28,2777,"Sun Valley NSW 2777, Australia",150.6168974,-33.6858294
29,2541,"Bangalee NSW 2541, Australia",150.5936766,-34.8772295
30,4670,"Norville QLD 4670, Australia",152.3593807,-24.8822309
31,3950,"Strzelecki VIC 3950, Australia",145.8245558,-38.4372473
32,2470,"Irvington NSW 2470, Australia",152.9676695,-28.878424
33,4342,"Lockrose QLD 4342, Australia",152.4621561,-27.4857911
34,3620,"Wyuna East VIC 3620, Australia",145.093449,-36.2508546
35,3880,"Boole Poole VIC 3880, Australia",147.7573,-37.9215501
36,3337,"Kurunjang VIC 3337, Australia",144.5875645,-37.6095412
37,3109,"Doncaster East VIC 3109, Australia",145.1541397,-37.7883929
38,4305,"Newtown QLD 4305, Australia",152.7676633,-27.6372514
39,4350,"Charlton QLD 4350, Australia",151.9533185,-27.5564884
40,5161,"Reynella SA 5161, Australia",138.5337293,-35.0958327
41,2298,"Waratah West NSW 2298, Australia",151.7210265,-32.9025199
42,3338,"Eynesbury VIC 3338, Australia",144.5437205,-37.7810237
43,3385,"Roses Gap VIC 3385, Australia",142.6600232,-36.9066682
44,5201,"Kuitpo SA 5201, Australia",138.6990679,-35.2329394
45,2323,"Metford NSW 2323, Australia",151.4902483,-32.9103365
46,4817,"Kirwan QLD 4817, Australia",146.6060735,-19.3321474
47,2295,"Fern Bay NSW 2295, Australia",151.7999723,-32.8674273
48,5084,"Blair Athol SA 5084, Australia",138.5937955,-34.8553998
49,4868,"Woree QLD 4868, Australia",145.7464633,-16.9678678
50,4814,"Mount Louisa QLD 4814, Australia",146.7552341,-19.2878252
51,2233,"Engadine NSW 2233, Australia",151.0704263,-34.1193032
52,3224,"Moolap VIC 3224, Australia",144.4451578,-38.1833957
53,6023,"Duncraig WA 6023, Australia",115.7752703,-31.8306124
54,3340,"Parwan VIC 3340, Australia",144.4123303,-37.7356162
55,5015,"New Port SA 5015, Australia",138.5037206,-34.8455742
56,3156,"Ferntree Gully VIC 3156, Australia",145.3032906,-37.9368007
57,2324,"Twelve Mile Creek NSW 2324, Australia",151.9111422,-32.6400424
58,4567,"Noosa Heads QLD 4567, Australia",153.1018054,-26.4065351
59,3630,"Shepparton VIC 3630, Australia",145.5579927,-36.4615673
60,2582,"New South Wales 2582, Australia",148.8289611,-34.9445333
61,2282,"Lakelands NSW 2282, Australia",151.6479611,-32.9648241
62,3175,"Bangholme VIC 3175, Australia",145.2148736,-38.0191689
63,2278,"Barnsley NSW 2278, Australia",151.548643,-32.9351373
64,3012,"Maidstone VIC 3012, Australia",144.8456217,-37.8146251
65,3021,"Kealba VIC 3021, Australia",144.8016402,-37.7435941
66,3909,"Lake Tyers Beach VIC 3909, Australia",148.0299382,-37.8136883
67,2148,"Blacktown NSW 2148, Australia",150.9016476,-33.7849921
68,5039,"Edwardstown SA 5039, Australia",138.5737662,-34.9844595
69,7310,"Tarleton TAS 7310, Australia",146.2018576,-41.3586159
70,3472,"Betley VIC 3472, Australia",143.6068646,-36.8747643
71,3996,"Pound Creek VIC 3996, Australia",145.7800733,-38.6086874
72,2871,"New South Wales 2871, Australia",147.7346113,-33.5103372
73,3690,"Wodonga VIC 3690, Australia",146.8423556,-36.1118041
74,3223,"Bellarine VIC 3223, Australia",144.6753231,-38.1610488
75,2216,"Banksia NSW 2216, Australia",151.1490585,-33.9531396
76,3418,"Victoria 3418, Australia",141.5991643,-36.2520776
77,5109,"Salisbury Heights SA 5109, Australia",138.673985,-34.7692638
78,6152,"Salter Point WA 6152, Australia",115.8699209,-32.0115829
79,4869,"Bentley Park QLD 4869, Australia",145.7448496,-17.0187557
80,2478,"South Ballina NSW 2478, Australia",153.5570056,-28.8529354
81,4220,"Miami QLD 4220, Australia",153.4331163,-28.0963527
82,3939,"Cape Schanck VIC 3939, Australia",144.8951287,-38.4218526
83,3722,"Mansfield VIC 3722, Australia",146.1365456,-37.0313019
84,3350,"Ballarat East VIC 3350, Australia",143.8563224,-37.5691087
85,2261,"The Entrance NSW 2261, Australia",151.4318742,-33.3603327
86,3108,"Doncaster VIC 3108, Australia",145.1210303,-37.7865824
87,6210,"Falcon WA 6210, Australia",115.7220148,-32.5461633
88,3500,"Mildura VIC 3500, Australia",142.1169401,-34.2151229
89,2149,"Australia 2149, Conchalí, Región Metropolitana, Chile",-70.6771385,-33.3922543
90,2320,"Anambah NSW 2320, Australia",151.5369624,-32.7147232
91,5043,"Ascot Park SA 5043, Australia",138.5537441,-34.9944528
92,5169,"Seaford Meadows SA 5169, Australia",138.4837239,-35.1936786
93,3319,"Bringalbert VIC 3319, Australia",141.0540674,-36.8910613
94,2539,"Fishermans Paradise NSW 2539, Australia",150.2342337,-35.3536829
95,4341,"Kensington Grove QLD 4341, Australia",152.333048,-27.6849335
96,2570,"Bickley Vale NSW 2570, Australia",150.6285091,-34.0252949
97,2192,"Belmore NSW 2192, Australia",151.0908086,-33.9178204
98,4216,"Coombabah QLD 4216, Australia",153.4036287,-27.9004034
99,2146,"Toongabbie NSW 2146, Australia",150.9569167,-33.7915266
100,4130,"Cornubia QLD 4130, Australia",153.2267554,-27.6740515
101,2747,"Kingswood NSW 2747, Australia",150.7330562,-33.7568098
102,4405,"Bunya Mountains QLD 4405, Australia",151.2660028,-27.1944148
103,2799,"Kings Plains NSW 2799, Australia",149.265005,-33.5995926
104,3730,"Telford VIC 3730, Australia",145.8913207,-36.0520717
105,6330,"Drome WA 6330, Australia",117.8780275,-34.9754734
106,2650,"New South Wales 2650, Australia",147.4174803,-35.283152
107,4565,"Ringtail Creek QLD 4565, Australia",152.9912123,-26.303935
108,3150,"Glen Waverley VIC 3150, Australia",145.1706992,-37.8921876
109,6025,"Padbury WA 6025, Australia",115.7456852,-31.7998382
110,2322,"Hexham NSW 2322, Australia",151.6654939,-32.8189255
111,2350,"New South Wales 2350, Australia",151.9813913,-30.4941859
112,4551,"Golden Beach QLD 4551, Australia",153.1359352,-26.7977396
113,2680,"Griffith NSW 2680, Australia",145.9358581,-34.394413
114,4132,"Crestmead QLD 4132, Australia",153.0912986,-27.6781718
115,2749,"Cranebrook NSW 2749, Australia",150.6865817,-33.7039148
116,2317,"Salamander Bay NSW 2317, Australia",152.0897462,-32.7326108
117,3523,"Redcastle VIC 3523, Australia",144.7412036,-36.8919051
118,4069,"Pullenvale QLD 4069, Australia",152.8970569,-27.5020161
119,4000,"Spring Hill QLD 4000, Australia",153.023588,-27.4660994
120,3196,"Bonbeach VIC 3196, Australia",145.1210303,-38.048116
121,3688,"Barnawartha VIC 3688, Australia",146.7299747,-36.1542047
122,4700,"Rockhampton City QLD 4700, Australia",150.5004652,-23.3762489
123,5251,"Mount Barker SA 5251, Australia",138.9001364,-35.0961731
124,4160,"Wellington Point QLD 4160, Australia",153.2390188,-27.4869721
125,5158,"Sheidow Park SA 5158, Australia",138.5337293,-35.0684234
126,7305,"Merseylea TAS 7305, Australia",146.4590156,-41.3669133
127,7179,"Eaglehawk Neck TAS 7179, Australia",147.9278156,-42.9956989
128,3130,"Blackburn North VIC 3130, Australia",145.1541397,-37.8258214
129,3550,"White Hills VIC 3550, Australia",144.2920769,-36.7665875
130,3222,"Clifton Springs VIC 3222, Australia",144.5875645,-38.2049453
131,4078,"Ellen Grove QLD 4078, Australia",152.9617842,-27.6185546
132,3450,"Moonlight Flat VIC 3450, Australia",144.2265602,-37.0636472
133,3134,"Warrandyte South VIC 3134, Australia",145.2424941,-37.7900435
134,4061,"The Gap QLD 4061, Australia",152.9382447,-27.4401591
135,4034,"Zillmere QLD 4034, Australia",153.0441933,-27.3645676
136,3038,"Keilor Downs VIC 3038, Australia",144.7906484,-37.7024727
137,2456,"Sandy Beach NSW 2456, Australia",153.1325243,-30.0520062
138,4053,"Everton Park QLD 4053, Australia",152.9853264,-27.3957404
139,2207,"Bardwell Park NSW 2207, Australia",151.1228434,-33.9541086
140,2221,"Connells Point NSW 2221, Australia",151.1111936,-33.9919897
141,3022,"Ardeer VIC 3022, Australia",144.7988921,-37.7776716
142,2170,"Mount Pritchard NSW 2170, Australia",150.9190988,-33.9477825
143,3850,"Wurruk VIC 3850, Australia",147.0675028,-38.096577
144,3616,"Gillieston VIC 3616, Australia",145.2038278,-36.4591947
145,2500,"West Wollongong NSW 2500, Australia",150.8783824,-34.4207112
146,3167,"Oakleigh South VIC 3167, Australia",145.0989646,-37.9193474
147,4207,"Yarrabilba QLD 4207, Australia",153.2061661,-27.7319516
148,2166,"Cabramatta West NSW 2166, Australia",150.9365521,-33.8961316
149,5021,"West Lakes SA 5021, Australia",138.496221,-34.8722171
150,3039,"Moonee Ponds VIC 3039, Australia",144.9198932,-37.7675363
151,4510,"Beachmere QLD 4510, Australia",152.9518951,-27.0796844
152,6009,"Dalkeith WA 6009, Australia",115.8107681,-31.9820615
153,2290,"Charlestown NSW 2290, Australia",151.712257,-32.9754667
154,7250,"Prospect TAS 7250, Australia",147.0977983,-41.45012
155,3658,"Strath Creek VIC 3658, Australia",145.093449,-37.2372916
156,2486,"Upper Duroby NSW 2486, Australia",153.4744054,-28.2187657
157,3806,"Berwick VIC 3806, Australia",145.3475331,-38.0264207
158,2487,"Fingal Head NSW 2487, Australia",153.5452038,-28.2768342
159,2165,"Fairfield Heights NSW 2165, Australia",150.9452794,-33.8702903
160,2263,"Canton Beach NSW 2263, Australia",151.5077645,-33.2504355
161,3214,"Corio VIC 3214, Australia",144.3576473,-38.0788809
162,3840,"Morwell VIC 3840, Australia",146.4495924,-38.2671612
163,2118,"Carlingford NSW 2118, Australia",151.0413133,-33.7799114
164,3041,"Strathmore VIC 3041, Australia",144.9006313,-37.7306079
165,3280,"Dennington VIC 3280, Australia",142.4678659,-38.3603292
166,2652,"New South Wales 2652, Australia",146.8311117,-34.6723667
167,3105,"Bulleen VIC 3105, Australia",145.0879338,-37.7660476
168,2230,"Woolooware NSW 2230, Australia",151.1461455,-34.0621862
169,2767,"Woodcroft NSW 2767, Australia",150.8783824,-33.7585633
170,5163,"Hackham SA 5163, Australia",138.56876,-35.1332262
171,2100,"Allambie Heights NSW 2100, Australia",151.2627078,-33.7645979
172,2264,"Dora Creek NSW 2264, Australia",151.4552213,-33.1186851
173,6121,"Oakford WA 6121, Australia",115.9231471,-32.216928
174,6018,"Karrinyup WA 6018, Australia",115.7871034,-31.8917374
175,3678,"Victoria 3678, Australia",146.5168094,-36.7132294
176,2390,"New South Wales 2390, Australia",149.9334764,-30.1669781
177,2281,"Pinny Beach NSW 2281, Australia",151.6362736,-33.1170985
178,2103,"Mona Vale NSW 2103, Australia",151.3064407,-33.6757024
179,2155,"Rouse Hill NSW 2155, Australia",150.9423702,-33.6880666
180,3177,"Eumemmerring VIC 3177, Australia",145.2424941,-37.9957951
181,2287,"Elermore Vale NSW 2287, Australia",151.6654939,-32.9018298
182,4218,"Broadbeach QLD 4218, Australia",153.4213208,-28.0396814
183,3030,"Derrimut VIC 3030, Australia",144.6753231,-37.938058
184,4215,"Labrador QLD 4215, Australia",153.4036287,-27.965505
185,3941,"Tootgarook VIC 3941, Australia",144.8181305,-38.3862088
186,3073,"Reservoir VIC 3073, Australia",145.0107588,-37.7118644
187,3058,"Coburg VIC 3058, Australia",144.9666905,-37.7343488
188,3919,"Crib Point VIC 3919, Australia",145.1983055,-38.3534427
189,3082,"Mill Park VIC 3082, Australia",145.0658766,-37.6649616
190,3178,"Rowville VIC 3178, Australia",145.2424941,-37.9210442
191,4561,"Bridges QLD 4561, Australia",152.9554676,-26.5626224
192,2420,"Wallarobba NSW 2420, Australia",151.7473377,-32.3296556
193,2227,"Gymea Bay NSW 2227, Australia",151.0849848,-34.043981
194,6059,"Dianella WA 6059, Australia",115.8699209,-31.8843665
195,4021,"Kippa-Ring QLD 4021, Australia",153.0824656,-27.223156
196,6070,"Darlington WA 6070, Australia",116.0827607,-31.9226334
197,3090,"Plenty VIC 3090, Australia",145.1099967,-37.670486
198,3121,"Richmond VIC 3121, Australia",144.9997396,-37.8203499
199,2586,"Reids Flat NSW 2586, Australia",148.8289611,-34.4652711
200,3502,"3502 Australia Way W, Clearwater, FL 33763, USA",-82.7397574,27.9970038
201,4121,"Holland Park QLD 4121, Australia",153.0589533,-27.5223127
202,7170,"Mount Rumney TAS 7170, Australia",147.468076,-42.8507505
203,4011,"Hendra QLD 4011, Australia",153.0589126,-27.4191871
204,4560,"Montville QLD 4560, Australia",152.9323602,-26.6077924
205,2800,"Ophir NSW 2800, Australia",149.0582632,-33.2792017
206,3752,"South Morang VIC 3752, Australia",145.082419,-37.6377485
207,4119,"Underwood QLD 4119, Australia",153.1119105,-27.6092593
208,4178,"Lytton QLD 4178, Australia",153.17369,-27.4437553
209,3975,"Lynbrook VIC 3975, Australia",145.2424941,-38.0704681
210,2646,"New South Wales 2646, Australia",146.2929381,-35.7553785
211,2460,"New South Wales 2460, Australia",152.7323884,-29.6427683
212,2220,"Hurstville Grove NSW 2220, Australia",151.0995447,-33.9583688
213,2489,"Hastings Point NSW 2489, Australia",153.5629067,-28.3834692
214,2536,"Surfside NSW 2536, Australia",150.0722053,-35.6491178
215,3122,"Hawthorn VIC 3122, Australia",145.0328017,-37.8222114
216,3847,"Nambrok VIC 3847, Australia",146.8086278,-38.2317005
217,4854,"Cardstone QLD 4854, Australia",145.8023118,-17.983313
218,5540,"Port Pirie South SA 5540, Australia",138.1200592,-33.2080635
219,2325,"Corrabare NSW 2325, Australia",151.1869325,-32.9380528
220,2340,"New South Wales 2340, Australia",151.0471355,-31.2814691
221,3143,"Armadale VIC 3143, Australia",145.0190242,-37.857253
222,5162,"Morphett Vale SA 5162, Australia",138.5437358,-35.118261
223,2557,"Rossmore NSW 2557, Australia",150.7737333,-33.9968842
224,3084,"Viewbank VIC 3084, Australia",145.0769045,-37.7436031
225,2485,"Tweed Heads NSW 2485, Australia",153.5157018,-28.178556
226,2326,"Abermain NSW 2326, Australia",151.4552213,-32.787791
227,2258,"Ourimbah NSW 2258, Australia",151.3501856,-33.3295763
228,3071,"Thornbury VIC 3071, Australia",145.0080039,-37.7600493
229,3737,"Barwidgee VIC 3737, Australia",146.6962857,-36.8466834
230,2640,"Wymah NSW 2640, Australia",147.259277,-35.9976838
231,6163,"North Coogee WA 6163, Australia",115.7930198,-32.0865957
232,5017,"Osborne SA 5017, Australia",138.4937213,-34.8047928
233,3036,"Keilor VIC 3036, Australia",144.8126334,-37.6912843
234,3825,"Hill End VIC 3825, Australia",146.2929381,-38.0474021
235,3363,"Mount Beckworth VIC 3363, Australia",143.8780526,-37.409312
236,7304,"Tasmania 7304, Australia",146.5526657,-41.7246682
237,3556,"California Gully VIC 3556, Australia",144.1938221,-36.6478425
238,4051,"Newmarket QLD 4051, Australia",152.9882693,-27.4261914
239,3046,"Oak Park VIC 3046, Australia",144.9336544,-37.7044261
240,3060,"Fawkner VIC 3060, Australia",144.9666905,-37.6969273
241,3075,"Lalor VIC 3075, Australia",145.0107588,-37.6650543
242,2193,"Ashbury NSW 2193, Australia",151.1199309,-33.909932
243,2560,"Cataract NSW 2560, Australia",150.8144215,-34.2364674
